color,verb,names,object,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,date,frameRate,expName,session,participant,
Red,On,mountie,Stool,0,0,0,0,,,,,0.03359375,0.151764705882,1,0,0,1.2553858757,,,,,,2015_Oct_13_0551,59.9610295852,attempt,001,,
Red,With,hunter,Stool,0,1,1,1,,,,,0.03203125,0.151764705882,1,0,0,0.664314985275,,,,,,2015_Oct_13_0551,59.9610295852,attempt,001,,
Red,On,hunter,Stool,0,2,2,2,,,,,0.03125,0.151764705882,1,0,0,0.532096147537,,,,,,2015_Oct_13_0551,59.9610295852,attempt,001,,
Blue,Nextto,hunter,Stool,0,3,3,3,,,,,0.03125,0.151764705882,1,0,0,0.565819978714,,,,,,2015_Oct_13_0551,59.9610295852,attempt,001,,
Red,On,mountie,Skateboard,0,4,4,4,,,,,0.03046875,0.151764705882,1,0,0,0.513077020645,,,,,,2015_Oct_13_0551,59.9610295852,attempt,001,,
Red,On,mountie,Stool,,,,,0,0,0,0,,,,,,,0.0296875,0.151764705882,1,0,0,2015_Oct_13_0551,59.9610295852,attempt,001,,
Red,With,hunter,Stool,,,,,0,1,1,1,,,,,,,0.028125,0.151764705882,1,0,0,2015_Oct_13_0551,59.9610295852,attempt,001,,
Red,On,hunter,Stool,,,,,0,2,2,2,,,,,,,0.028125,0.151764705882,1,0,0,2015_Oct_13_0551,59.9610295852,attempt,001,,
Blue,Nextto,hunter,Stool,,,,,0,3,3,3,,,,,,,0.028125,0.151764705882,1,0,0,2015_Oct_13_0551,59.9610295852,attempt,001,,
Red,On,mountie,Skateboard,,,,,0,4,4,4,,,,,,,0.028125,0.151764705882,1,0,0,2015_Oct_13_0551,59.9610295852,attempt,001,,
