mountie,chef,kick,VSO
chef,ref,hug,VSO
mountie,bandit,headbutt,VSO
ref,bandit,tap,VOS
mountie,bandit,stomp,VOS
chef,mountie,poke,VSO
bandit,mountie,hug,VSO
chef,mountie,headbutt,VOS
mountie,chef,tap,VOS
bandit,ref,headbutt,VOS
mountie,bandit,poke,VSO
chef,ref,kick,VOS
ref,bandit,kick,VSO
mountie,chef,hug,VSO
ref,bandit,hug,VSO
chef,mountie,stomp,VSO
bandit,ref,rock,VOS
ref,chef,headbutt,VSO
ref,chef,stomp,VOS
bandit,mountie,kick,VOS
mountie,bandit,rock,VOS
bandit,ref,poke,VSO
bandit,mountie,tap,VOS
bandit,mountie,pickup,VSO
chef,ref,tap,VOS
ref,chef,poke,VSO
ref,bandit,pickup,VOS
mountie,chef,pickup,VOS
ref,chef,rock,VOS
bandit,ref,stomp,VSO
chef,ref,pickup,VSO
chef,mountie,rock,VOS
